"64-559","SWITCH CH"
"64-3303","Swisscom CH"
"64-6730","Sunrise CH"
"64-8300","Swisscom Lab"
"64-12350","VTX CH"
"64-13030","Init7 CH"
"64-15623","Cyberlink"
"64-2:0:9","ETH Zurich (ETHZ)"
"64-2:0:13","Anapaya CONNECT Zurich"
"64-2:0:1a","Anapaya Zurich Hardturm"
"64-2:0:23","InterCloud CH Zurich"
"64-2:0:46","Swisscom"
"64-2:0:4c","AWS PoC Anapaya"
"65-2:0:f","Anapaya CONNECT Frankfurt"
"65-2:0:19","Anapaya Frankfurt"
"65-2:0:24","InterCloud FR Paris"
"66-2:0:10","Anapaya CONNECT Singapore"
"66-2:0:11","Anapaya CONNECT Hong Kong"
"66-2:0:55","Intercloud JP"
"71-20965","GEANT"
"71-2:0:4a","Ovgu"


